AGE,COUNT,EVENT_TYPE,POPULATION,RACE,Non-Hispanic Race,RATE,SEX,SITE,YEAR
5-9,~,Mortality,102711,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2014
50-54,~,Mortality,94850,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2014
55-59,~,Mortality,87807,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2014
60-64,~,Mortality,70309,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2014
65-69,~,Mortality,52575,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2014
70-74,~,Mortality,35075,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2014
75-79,~,Mortality,23553,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2014
80-84,~,Mortality,15013,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2014
85+,~,Mortality,14172,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2014
<1,~,Mortality,19438,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2014
1-4,~,Mortality,78563,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2015
10-14,~,Mortality,101109,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2015
15-19,~,Mortality,104015,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2015
20-24,~,Mortality,111901,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2015
25-29,~,Mortality,102254,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2015
30-34,~,Mortality,92771,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2015
35-39,~,Mortality,84208,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2015
40-44,~,Mortality,81666,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2015
45-49,~,Mortality,84068,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2015
5-9,~,Mortality,102342,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2015
50-54,~,Mortality,93588,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2015
55-59,~,Mortality,89950,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2015
60-64,~,Mortality,73162,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2015
65-69,~,Mortality,56058,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2015
70-74,~,Mortality,36913,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2015
75-79,~,Mortality,24803,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2015
80-84,~,Mortality,15732,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2015
85+,~,Mortality,15134,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2015
<1,~,Mortality,19116,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2015
1-4,~,Mortality,77771,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2016
10-14,~,Mortality,101017,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2016
15-19,~,Mortality,103869,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2016
20-24,~,Mortality,109501,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2016
25-29,~,Mortality,105972,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2016
30-34,~,Mortality,93615,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2016
35-39,~,Mortality,86327,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2016
40-44,~,Mortality,80014,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2016
45-49,~,Mortality,83808,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2016
5-9,~,Mortality,101559,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2016
50-54,~,Mortality,91143,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2016
55-59,~,Mortality,91339,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2016
60-64,~,Mortality,76503,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2016
65-69,~,Mortality,59608,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2016
70-74,~,Mortality,38561,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2016
75-79,~,Mortality,26136,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2016
80-84,~,Mortality,16632,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2016
85+,~,Mortality,16021,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2016
<1,~,Mortality,18839,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Female,Oral Cavity and Pharynx,2016
1-4,~,Mortality,429555,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2011
10-14,~,Mortality,522653,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2011
15-19,~,Mortality,536512,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2011
20-24,~,Mortality,643753,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2011
25-29,~,Mortality,733195,Non-Hispanic,Non-Hispanic Asian/Pacific Islander,,Female,Oral Cavity and Pharynx,2011
30-34,20,Incidence,2128673,Hispanic of any race,Hispanic of any race,0.9,Female,Oral Cavity and Pharynx,2016
35-39,28,Incidence,2075190,Hispanic of any race,Hispanic of any race,1.3,Female,Oral Cavity and Pharynx,2016
40-44,40,Incidence,1941080,Hispanic of any race,Hispanic of any race,2.1,Female,Oral Cavity and Pharynx,2016
45-49,52,Incidence,1748512,Hispanic of any race,Hispanic of any race,3,Female,Oral Cavity and Pharynx,2016
5-9,~,Incidence,2573720,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2016
50-54,77,Incidence,1538011,Hispanic of any race,Hispanic of any race,5,Female,Oral Cavity and Pharynx,2016
55-59,90,Incidence,1279624,Hispanic of any race,Hispanic of any race,7,Female,Oral Cavity and Pharynx,2016
60-64,121,Incidence,1002477,Hispanic of any race,Hispanic of any race,12.1,Female,Oral Cavity and Pharynx,2016
65-69,120,Incidence,763582,Hispanic of any race,Hispanic of any race,15.7,Female,Oral Cavity and Pharynx,2016
70-74,83,Incidence,535497,Hispanic of any race,Hispanic of any race,15.5,Female,Oral Cavity and Pharynx,2016
75-79,80,Incidence,385618,Hispanic of any race,Hispanic of any race,20.7,Female,Oral Cavity and Pharynx,2016
80-84,45,Incidence,272495,Hispanic of any race,Hispanic of any race,16.5,Female,Oral Cavity and Pharynx,2016
85+,49,Incidence,274694,Hispanic of any race,Hispanic of any race,17.8,Female,Oral Cavity and Pharynx,2016
<1,~,Incidence,495790,Hispanic of any race,Hispanic of any race,,Female,Oral Cavity and Pharynx,2016
30-34,22,Mortality,10668769,All Other Races,All Races,0.2,Male,Oral Cavity and Pharynx,2013
35-39,43,Mortality,9772347,All Other Races,All Races,0.4,Male,Oral Cavity and Pharynx,2013
40-44,97,Mortality,10347955,All Other Races,All Races,0.9,Male,Oral Cavity and Pharynx,2013
45-49,265,Mortality,10491199,All Other Races,All Races,2.5,Male,Oral Cavity and Pharynx,2013
5-9,~,Mortality,10506663,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2013
50-54,560,Mortality,11060993,All Other Races,All Races,5.1,Male,Oral Cavity and Pharynx,2013
55-59,840,Mortality,10268546,All Other Races,All Races,8.2,Male,Oral Cavity and Pharynx,2013
60-64,1020,Mortality,8662539,All Other Races,All Races,11.8,Male,Oral Cavity and Pharynx,2013
65-69,991,Mortality,6901813,All Other Races,All Races,14.4,Male,Oral Cavity and Pharynx,2013
70-74,752,Mortality,4878749,All Other Races,All Races,15.4,Male,Oral Cavity and Pharynx,2013
75-79,616,Mortality,3390044,All Other Races,All Races,18.2,Male,Oral Cavity and Pharynx,2013
80-84,493,Mortality,2364502,All Other Races,All Races,20.9,Male,Oral Cavity and Pharynx,2013
85+,502,Mortality,2029069,All Other Races,All Races,24.7,Male,Oral Cavity and Pharynx,2013
<1,~,Mortality,2009790,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2013
1-4,~,Mortality,8138258,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2014
10-14,~,Mortality,10551032,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2014
15-19,~,Mortality,10778182,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2014
20-24,~,Mortality,11734876,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2014
25-29,17,Mortality,11154019,All Other Races,All Races,0.2,Male,Oral Cavity and Pharynx,2014
30-34,21,Mortality,10796288,All Other Races,All Races,0.2,Male,Oral Cavity and Pharynx,2014
35-39,44,Mortality,9913940,All Other Races,All Races,0.4,Male,Oral Cavity and Pharynx,2014
40-44,84,Mortality,10187508,All Other Races,All Races,0.8,Male,Oral Cavity and Pharynx,2014
45-49,269,Mortality,10310760,All Other Races,All Races,2.6,Male,Oral Cavity and Pharynx,2014
5-9,~,Mortality,10480153,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2014
50-54,556,Mortality,11045022,All Other Races,All Races,5,Male,Oral Cavity and Pharynx,2014
55-59,991,Mortality,10416082,All Other Races,All Races,9.5,Male,Oral Cavity and Pharynx,2014
60-64,1047,Mortality,8855150,All Other Races,All Races,11.8,Male,Oral Cavity and Pharynx,2014
65-69,1028,Mortality,7234673,All Other Races,All Races,14.2,Male,Oral Cavity and Pharynx,2014
70-74,826,Mortality,5091435,All Other Races,All Races,16.2,Male,Oral Cavity and Pharynx,2014
75-79,720,Mortality,3507421,All Other Races,All Races,20.5,Male,Oral Cavity and Pharynx,2014
80-84,548,Mortality,2376937,All Other Races,All Races,23.1,Male,Oral Cavity and Pharynx,2014
85+,607,Mortality,2099470,All Other Races,All Races,28.9,Male,Oral Cavity and Pharynx,2014
<1,~,Mortality,2024604,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2014
1-4,~,Mortality,8152406,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2015
10-14,~,Mortality,10517252,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2015
15-19,~,Mortality,10787033,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2015
20-24,~,Mortality,11646473,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2015
25-29,20,Mortality,11402007,All Other Races,All Races,0.2,Male,Oral Cavity and Pharynx,2015
30-34,24,Mortality,10875937,All Other Races,All Races,0.2,Male,Oral Cavity and Pharynx,2015
35-39,49,Mortality,10142245,All Other Races,All Races,0.5,Male,Oral Cavity and Pharynx,2015
40-44,83,Mortality,9989891,All Other Races,All Races,0.8,Male,Oral Cavity and Pharynx,2015
45-49,222,Mortality,10288356,All Other Races,All Races,2.2,Male,Oral Cavity and Pharynx,2015
5-9,~,Mortality,10460866,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2015
50-54,526,Mortality,10921871,All Other Races,All Races,4.8,Male,Oral Cavity and Pharynx,2015
55-59,921,Mortality,10559735,All Other Races,All Races,8.7,Male,Oral Cavity and Pharynx,2015
60-64,1153,Mortality,9085876,All Other Races,All Races,12.7,Male,Oral Cavity and Pharynx,2015
65-69,1125,Mortality,7576768,All Other Races,All Races,14.8,Male,Oral Cavity and Pharynx,2015
70-74,853,Mortality,5281726,All Other Races,All Races,16.2,Male,Oral Cavity and Pharynx,2015
75-79,669,Mortality,3603446,All Other Races,All Races,18.6,Male,Oral Cavity and Pharynx,2015
80-84,556,Mortality,2407460,All Other Races,All Races,23.1,Male,Oral Cavity and Pharynx,2015
85+,663,Mortality,2169767,All Other Races,All Races,30.6,Male,Oral Cavity and Pharynx,2015
<1,~,Mortality,2037728,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2015
1-4,~,Mortality,8168137,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2016
10-14,~,Mortality,10529234,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2016
15-19,~,Mortality,10804809,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2016
20-24,~,Mortality,11486770,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2016
25-29,~,Mortality,11668343,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2016
30-34,30,Mortality,10997952,All Other Races,All Races,0.3,Male,Oral Cavity and Pharynx,2016
35-39,30,Mortality,10385679,All Other Races,All Races,0.3,Male,Oral Cavity and Pharynx,2016
40-44,83,Mortality,9768609,All Other Races,All Races,0.8,Male,Oral Cavity and Pharynx,2016
45-49,230,Mortality,10356168,All Other Races,All Races,2.2,Male,Oral Cavity and Pharynx,2016
5-9,~,Mortality,10442552,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2016
50-54,545,Mortality,10708723,All Other Races,All Races,5.1,Male,Oral Cavity and Pharynx,2016
55-59,942,Mortality,10663988,All Other Races,All Races,8.8,Male,Oral Cavity and Pharynx,2016
60-64,1204,Mortality,9297699,All Other Races,All Races,12.9,Male,Oral Cavity and Pharynx,2016
65-69,1190,Mortality,7927580,All Other Races,All Races,15,Male,Oral Cavity and Pharynx,2016
70-74,919,Mortality,5444125,All Other Races,All Races,16.9,Male,Oral Cavity and Pharynx,2016
75-79,727,Mortality,3721492,All Other Races,All Races,19.5,Male,Oral Cavity and Pharynx,2016
80-84,566,Mortality,2453136,All Other Races,All Races,23.1,Male,Oral Cavity and Pharynx,2016
85+,657,Mortality,2234625,All Other Races,All Races,29.4,Male,Oral Cavity and Pharynx,2016
<1,~,Mortality,2026072,All Other Races,All Races,,Male,Oral Cavity and Pharynx,2016
1-4,~,Mortality,2100925,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2011
10-14,~,Mortality,2357588,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2011
15-19,~,Mortality,2351695,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2011
20-24,~,Mortality,2347266,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2011
25-29,~,Mortality,2292165,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2011
30-34,~,Mortality,2194114,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2011
35-39,~,Mortality,2000884,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2011
40-44,~,Mortality,1818290,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2011
45-49,21,Mortality,1584142,Hispanic of any race,Hispanic of any race,1.3,Male,Oral Cavity and Pharynx,2011
5-9,~,Mortality,2498265,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2011
50-54,27,Mortality,1278434,Hispanic of any race,Hispanic of any race,2.1,Male,Oral Cavity and Pharynx,2011
55-59,51,Mortality,954122,Hispanic of any race,Hispanic of any race,5.3,Male,Oral Cavity and Pharynx,2011
60-64,44,Mortality,698518,Hispanic of any race,Hispanic of any race,6.3,Male,Oral Cavity and Pharynx,2011
65-69,41,Mortality,462496,Hispanic of any race,Hispanic of any race,8.9,Male,Oral Cavity and Pharynx,2011
70-74,29,Mortality,322029,Hispanic of any race,Hispanic of any race,9,Male,Oral Cavity and Pharynx,2011
75-79,29,Mortality,224297,Hispanic of any race,Hispanic of any race,12.9,Male,Oral Cavity and Pharynx,2011
80-84,27,Mortality,149271,Hispanic of any race,Hispanic of any race,18.1,Male,Oral Cavity and Pharynx,2011
85+,17,Mortality,105041,Hispanic of any race,Hispanic of any race,16.2,Male,Oral Cavity and Pharynx,2011
<1,~,Mortality,514846,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2011
1-4,~,Mortality,2090045,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2012
10-14,~,Mortality,2390149,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2012
15-19,~,Mortality,2346475,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2012
20-24,~,Mortality,2398722,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2012
25-29,~,Mortality,2298231,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2012
30-34,~,Mortality,2235976,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2012
35-39,~,Mortality,2032271,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2012
40-44,~,Mortality,1863528,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2012
45-49,19,Mortality,1622052,Hispanic of any race,Hispanic of any race,1.2,Male,Oral Cavity and Pharynx,2012
5-9,~,Mortality,2559257,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2012
50-54,29,Mortality,1333228,Hispanic of any race,Hispanic of any race,2.2,Male,Oral Cavity and Pharynx,2012
55-59,37,Mortality,1011415,Hispanic of any race,Hispanic of any race,3.7,Male,Oral Cavity and Pharynx,2012
60-64,53,Mortality,729418,Hispanic of any race,Hispanic of any race,7.3,Male,Oral Cavity and Pharynx,2012
65-69,58,Mortality,501698,Hispanic of any race,Hispanic of any race,11.6,Male,Oral Cavity and Pharynx,2012
70-74,47,Mortality,337131,Hispanic of any race,Hispanic of any race,13.9,Male,Oral Cavity and Pharynx,2012
75-79,32,Mortality,234251,Hispanic of any race,Hispanic of any race,13.7,Male,Oral Cavity and Pharynx,2012
80-84,27,Mortality,156401,Hispanic of any race,Hispanic of any race,17.3,Male,Oral Cavity and Pharynx,2012
85+,~,Mortality,113672,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2012
<1,~,Mortality,503517,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2012
1-4,~,Mortality,2066538,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2013
10-14,~,Mortality,2426404,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2013
15-19,~,Mortality,2351537,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2013
20-24,~,Mortality,2436091,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2013
25-29,~,Mortality,2313327,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2013
30-34,~,Mortality,2272602,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2013
35-39,~,Mortality,2069468,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2013
40-44,~,Mortality,1898084,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2013
45-49,16,Mortality,1663307,Hispanic of any race,Hispanic of any race,1,Male,Oral Cavity and Pharynx,2013
5-9,~,Mortality,2614540,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2013
50-54,32,Mortality,1390729,Hispanic of any race,Hispanic of any race,2.3,Male,Oral Cavity and Pharynx,2013
55-59,49,Mortality,1064099,Hispanic of any race,Hispanic of any race,4.6,Male,Oral Cavity and Pharynx,2013
60-64,53,Mortality,765516,Hispanic of any race,Hispanic of any race,6.9,Male,Oral Cavity and Pharynx,2013
65-69,50,Mortality,539247,Hispanic of any race,Hispanic of any race,9.3,Male,Oral Cavity and Pharynx,2013
70-74,42,Mortality,355548,Hispanic of any race,Hispanic of any race,11.8,Male,Oral Cavity and Pharynx,2013
75-79,31,Mortality,246495,Hispanic of any race,Hispanic of any race,12.6,Male,Oral Cavity and Pharynx,2013
80-84,20,Mortality,161696,Hispanic of any race,Hispanic of any race,12.4,Male,Oral Cavity and Pharynx,2013
85+,20,Mortality,122937,Hispanic of any race,Hispanic of any race,16.3,Male,Oral Cavity and Pharynx,2013
<1,~,Mortality,501026,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2013
1-4,~,Mortality,2058362,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2014
10-14,~,Mortality,2469529,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2014
15-19,~,Mortality,2367688,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2014
20-24,~,Mortality,2471155,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2014
25-29,~,Mortality,2342200,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2014
30-34,~,Mortality,2302457,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2014
35-39,~,Mortality,2104660,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2014
40-44,~,Mortality,1933029,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2014
45-49,18,Mortality,1698468,Hispanic of any race,Hispanic of any race,1.1,Male,Oral Cavity and Pharynx,2014
5-9,~,Mortality,2644130,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2014
50-54,32,Mortality,1448603,Hispanic of any race,Hispanic of any race,2.2,Male,Oral Cavity and Pharynx,2014
55-59,44,Mortality,1118840,Hispanic of any race,Hispanic of any race,3.9,Male,Oral Cavity and Pharynx,2014
60-64,51,Mortality,808583,Hispanic of any race,Hispanic of any race,6.3,Male,Oral Cavity and Pharynx,2014
65-69,39,Mortality,576689,Hispanic of any race,Hispanic of any race,6.8,Male,Oral Cavity and Pharynx,2014
70-74,56,Mortality,374928,Hispanic of any race,Hispanic of any race,14.9,Male,Oral Cavity and Pharynx,2014
75-79,44,Mortality,259101,Hispanic of any race,Hispanic of any race,17,Male,Oral Cavity and Pharynx,2014
80-84,18,Mortality,167726,Hispanic of any race,Hispanic of any race,10.7,Male,Oral Cavity and Pharynx,2014
85+,25,Mortality,133201,Hispanic of any race,Hispanic of any race,18.8,Male,Oral Cavity and Pharynx,2014
<1,~,Mortality,506694,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2014
1-4,~,Mortality,2051896,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2015
10-14,~,Mortality,2510279,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2015
15-19,~,Mortality,2407889,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2015
20-24,~,Mortality,2482768,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2015
25-29,~,Mortality,2385979,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2015
30-34,~,Mortality,2316152,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2015
35-39,~,Mortality,2166166,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2015
40-44,~,Mortality,1965366,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2015
45-49,16,Mortality,1746136,Hispanic of any race,Hispanic of any race,0.9,Male,Oral Cavity and Pharynx,2015
5-9,~,Mortality,2666165,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2015
50-54,33,Mortality,1498114,Hispanic of any race,Hispanic of any race,2.2,Male,Oral Cavity and Pharynx,2015
55-59,55,Mortality,1180745,Hispanic of any race,Hispanic of any race,4.7,Male,Oral Cavity and Pharynx,2015
60-64,71,Mortality,858715,Hispanic of any race,Hispanic of any race,8.3,Male,Oral Cavity and Pharynx,2015
65-69,52,Mortality,615905,Hispanic of any race,Hispanic of any race,8.4,Male,Oral Cavity and Pharynx,2015
70-74,49,Mortality,398203,Hispanic of any race,Hispanic of any race,12.3,Male,Oral Cavity and Pharynx,2015
75-79,44,Mortality,271141,Hispanic of any race,Hispanic of any race,16.2,Male,Oral Cavity and Pharynx,2015
80-84,30,Mortality,174978,Hispanic of any race,Hispanic of any race,17.1,Male,Oral Cavity and Pharynx,2015
85+,38,Mortality,144679,Hispanic of any race,Hispanic of any race,26.3,Male,Oral Cavity and Pharynx,2015
<1,~,Mortality,513548,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2015
1-4,~,Mortality,2054589,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2016
10-14,~,Mortality,2564514,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2016
15-19,~,Mortality,2453379,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2016
20-24,~,Mortality,2482980,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2016
25-29,~,Mortality,2439238,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2016
30-34,~,Mortality,2347380,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2016
35-39,~,Mortality,2216668,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2016
40-44,~,Mortality,1998318,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2016
45-49,~,Mortality,1794921,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2016
5-9,~,Mortality,2675551,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2016
50-54,25,Mortality,1547830,Hispanic of any race,Hispanic of any race,1.6,Male,Oral Cavity and Pharynx,2016
55-59,52,Mortality,1233990,Hispanic of any race,Hispanic of any race,4.2,Male,Oral Cavity and Pharynx,2016
60-64,61,Mortality,908673,Hispanic of any race,Hispanic of any race,6.7,Male,Oral Cavity and Pharynx,2016
65-69,64,Mortality,656191,Hispanic of any race,Hispanic of any race,9.8,Male,Oral Cavity and Pharynx,2016
70-74,40,Mortality,423779,Hispanic of any race,Hispanic of any race,9.4,Male,Oral Cavity and Pharynx,2016
75-79,40,Mortality,283084,Hispanic of any race,Hispanic of any race,14.1,Male,Oral Cavity and Pharynx,2016
80-84,31,Mortality,183368,Hispanic of any race,Hispanic of any race,16.9,Male,Oral Cavity and Pharynx,2016
85+,38,Mortality,155453,Hispanic of any race,Hispanic of any race,24.4,Male,Oral Cavity and Pharynx,2016
<1,~,Mortality,516999,Hispanic of any race,Hispanic of any race,,Male,Oral Cavity and Pharynx,2016
1-4,~,Mortality,83555,Non-Hispanic,Non-Hispanic American Indian/Alaska Native,,Male,Oral Cavity and Pharynx,2011
